name,email,password,role,cv,mustChangePassword
Adélaïde Allain,adélaïde.allain4010@company.com,brita7,EMPLOYEE,DataSets/uploads/1_Adelaide_Allain.txt,true
Adélaïde Arnaud,adélaïde.arnaud2459@company.com,brita7,EMPLOYEE,DataSets/uploads/2_Adelaide_Arnaud.txt,true
Adélaïde Bruneau,adélaïde.bruneau3669@company.com,brita7,EMPLOYEE,DataSets/uploads/3_Adelaide_Bruneau.txt,true
Adélaïde Caron,adélaïde.caron4967@company.com,brita7,EMPLOYEE,DataSets/uploads/4_Adelaide_Caron.txt,true
Adélaïde Courtois,adélaïde.courtois4370@company.com,brita7,EMPLOYEE,DataSets/uploads/5_Adelaide_Courtois.txt,true
Adélaïde Devaux,adélaïde.devaux1806@company.com,brita7,EMPLOYEE,DataSets/uploads/6_Adelaide_Devaux.txt,true
Adélaïde Goncalves,adélaïde.goncalves331@company.com,brita7,EMPLOYEE,DataSets/uploads/7_Adelaide_Goncalves.txt,true
Adélaïde Hebert,adélaïde.hebert4117@company.com,brita7,EMPLOYEE,DataSets/uploads/8_Adelaide_Hebert.txt,true
Adélaïde Klein,adélaïde.klein4901@company.com,brita7,EMPLOYEE,DataSets/uploads/9_Adelaide_Klein.txt,true
Adélaïde Langlois,adélaïde.langlois1094@company.com,brita7,EMPLOYEE,DataSets/uploads/10_Adelaide_Langlois.txt,true
Adélaïde Leblanc,adélaïde.leblanc3986@company.com,brita7,EMPLOYEE,DataSets/uploads/11_Adelaide_Leblanc.txt,true
Adélaïde Lebreton,adélaïde.lebreton4076@company.com,brita7,EMPLOYEE,DataSets/uploads/12_Adelaide_Lebreton.txt,true
Adélaïde Leroy,adélaïde.leroy1742@company.com,brita7,EMPLOYEE,DataSets/uploads/13_Adelaide_Leroy.txt,true
Adélaïde Marchal,adélaïde.marchal4818@company.com,brita7,EMPLOYEE,DataSets/uploads/14_Adelaide_Marchal.txt,true
Adélaïde Nicolas,adélaïde.nicolas3914@company.com,brita7,EMPLOYEE,DataSets/uploads/15_Adelaide_Nicolas.txt,true
Adélaïde Parent,adélaïde.parent2466@company.com,brita7,EMPLOYEE,DataSets/uploads/16_Adelaide_Parent.txt,true
Adélaïde Peron,adélaïde.peron4680@company.com,brita7,EMPLOYEE,DataSets/uploads/17_Adelaide_Peron.txt,true
Adélaïde Poirier,adélaïde.poirier3700@company.com,brita7,EMPLOYEE,DataSets/uploads/18_Adelaide_Poirier.txt,true
Adélaïde Ramos,adélaïde.ramos4881@company.com,brita7,EMPLOYEE,DataSets/uploads/19_Adelaide_Ramos.txt,true
Adélaïde Robin,adélaïde.robin4110@company.com,brita7,EMPLOYEE,DataSets/uploads/20_Adelaide_Robin.txt,true
Adélaïde Rossi,adélaïde.rossi2897@company.com,brita7,EMPLOYEE,DataSets/uploads/21_Adelaide_Rossi.txt,true
Adélaïde Simon,adélaïde.simon1281@company.com,brita7,EMPLOYEE,DataSets/uploads/22_Adelaide_Simon.txt,true
Adélaïde Tanguy,adélaïde.tanguy3358@company.com,brita7,EMPLOYEE,DataSets/uploads/23_Adelaide_Tanguy.txt,true
Adélaïde Turpin,adélaïde.turpin4974@company.com,brita7,EMPLOYEE,DataSets/uploads/24_Adelaide_Turpin.txt,true
Adélaïde Vidal,adélaïde.vidal2373@company.com,brita7,EMPLOYEE,DataSets/uploads/25_Adelaide_Vidal.txt,true
Adélaïde Weber,adélaïde.weber163@company.com,brita7,EMPLOYEE,DataSets/uploads/26_Adelaide_Weber.txt,true
Adèle Alexandre,adèle.alexandre1634@company.com,brita7,EMPLOYEE,DataSets/uploads/27_Adele_Alexandre.txt,true
